phone_threshold, name_threshold, address_threshold, training_data_precision, training_data_recall, test_data_precision, test_data_recall
0.0, 0.3, 0.0, 0.333, 0.182, 0.502, 0.982
0.0, 0.3, 0.0, 0.250, 0.136, 0.502, 0.982
0.0, 0.3, 0.0, 0.250, 0.136, 0.502, 0.982
0.0, 0.3, 0.0, 0.167, 0.091, 0.502, 0.982
0.0, 0.0, 0.8, 0.100, 0.045, 0.338, 0.911
0.0, 0.0, 0.8, 0.100, 0.045, 0.338, 0.911
0.0, 0.0, 0.8, 0.100, 0.045, 0.338, 0.911
0.0, 0.0, 0.8, 0.200, 0.091, 0.338, 0.911
0.0, 0.3, 0.0, 0.167, 0.091, 0.502, 0.982
0.0, 0.0, 0.8, 0.200, 0.091, 0.338, 0.911
0.0, 0.3, 0.0, 0.250, 0.136, 0.502, 0.982
0.0, 0.0, 0.8, 0.100, 0.045, 0.338, 0.911
0.0, 0.0, 0.8, 0.200, 0.091, 0.338, 0.911
0.0, 0.0, 0.8, 0.200, 0.091, 0.338, 0.911
0.0, 0.3, 0.0, 0.333, 0.182, 0.502, 0.982
0.0, 0.0, 0.8, 0.400, 0.182, 0.338, 0.911
