phone_threshold,name_threshold,address_threshold,training_data_precision,training_data_recall,test_data_precision,test_data_recall
1.0, 0.2, 0.0, 0.917, 1.000, 0.947, 0.955
1.0, 0.2, 0.3, 1.000, 1.000, 0.943, 0.884
0.2, 0.3, 0.0, 0.917, 1.000, 0.946, 0.946
1.0, 0.4, 0.0, 1.000, 1.000, 0.946, 0.938
1.0, 0.2, 0.0, 1.000, 1.000, 0.947, 0.955
1.0, 0.8, 0.4, 1.000, 1.000, 0.989, 0.786
1.0, 0.3, 0.9, 1.000, 1.000, 0.941, 0.857
0.0, 0.3, 0.2, 1.000, 1.000, 0.936, 0.911
1.0, 0.3, 0.0, 1.000, 1.000, 0.946, 0.946
0.1, 0.3, 0.3, 1.000, 1.000, 0.942, 0.875
1.0, 0.3, 0.0, 0.846, 1.000, 0.946, 0.946
0.1, 0.9, 0.0, 0.917, 1.000, 0.989, 0.830
0.2, 0.4, 0.8, 1.000, 1.000, 0.941, 0.848
1.0, 0.2, 0.0, 0.917, 1.000, 0.947, 0.955
0.2, 0.2, 1.0, 1.000, 1.000, 0.957, 0.795
0.2, 0.3, 0.5, 0.846, 1.000, 0.942, 0.866
1.0, 1.0, 1.0, 1.000, 1.000, 1.000, 0.634
0.0, 0.1, 0.4, 1.000, 1.000, 0.928, 0.920
1.0, 0.3, 0.9, 1.000, 1.000, 0.941, 0.857
1.0, 0.5, 1.0, 1.000, 1.000, 0.955, 0.750
1.0, 1.0, 0.5, 0.917, 1.000, 1.000, 0.670
1.0, 0.1, 1.0, 1.000, 0.909, 0.957, 0.804
0.1, 0.7, 0.3, 1.000, 1.000, 0.947, 0.795
0.2, 0.5, 0.9, 1.000, 1.000, 0.938, 0.812
1.0, 0.3, 0.7, 1.000, 1.000, 0.941, 0.857
1.0, 0.8, 0.6, 1.000, 0.909, 0.989, 0.777
1.0, 0.3, 0.2, 1.000, 1.000, 0.942, 0.875
0.0, 0.3, 1.0, 1.000, 1.000, 0.958, 0.812
1.0, 0.4, 0.8, 0.917, 1.000, 0.941, 0.848
0.0, 0.1, 1.0, 1.000, 1.000, 0.939, 0.830
1.0, 0.1, 1.0, 0.917, 1.000, 0.957, 0.804
1.0, 0.2, 0.0, 1.000, 1.000, 0.947, 0.955
1.0, 0.4, 0.1, 1.000, 1.000, 0.943, 0.884
1.0, 0.4, 0.0, 1.000, 1.000, 0.946, 0.938
1.0, 0.2, 1.0, 0.846, 1.000, 0.957, 0.795
0.2, 0.3, 0.0, 0.846, 1.000, 0.946, 0.946
0.2, 0.4, 0.2, 1.000, 1.000, 0.942, 0.866
0.0, 0.3, 0.2, 1.000, 1.000, 0.936, 0.911
1.0, 0.1, 0.0, 1.000, 1.000, 0.947, 0.964
0.2, 0.5, 0.2, 0.917, 1.000, 0.939, 0.830
1.0, 0.8, 0.4, 1.000, 1.000, 0.989, 0.786
1.0, 0.9, 0.1, 1.000, 1.000, 0.989, 0.786
1.0, 0.3, 0.9, 1.000, 1.000, 0.941, 0.857
0.0, 0.4, 0.2, 0.917, 1.000, 0.935, 0.902
1.0, 0.2, 0.0, 0.917, 1.000, 0.947, 0.955
1.0, 0.3, 0.3, 0.917, 1.000, 0.942, 0.875
1.0, 0.8, 0.7, 1.000, 1.000, 0.989, 0.777
0.2, 0.2, 0.5, 0.917, 1.000, 0.942, 0.875
0.2, 0.3, 0.4, 0.917, 1.000, 0.942, 0.866
1.0, 0.8, 0.4, 1.000, 1.000, 0.989, 0.786
1.0, 0.2, 0.0, 1.000, 1.000, 0.947, 0.955
0.1, 0.3, 0.0, 1.000, 1.000, 0.946, 0.946
1.0, 0.3, 0.0, 0.846, 1.000, 0.946, 0.946
0.2, 0.4, 1.0, 1.000, 1.000, 0.956, 0.777
0.2, 0.4, 0.7, 0.917, 1.000, 0.941, 0.848
0.0, 0.4, 0.0, 0.917, 1.000, 0.562, 0.973
1.0, 0.7, 0.8, 1.000, 1.000, 0.946, 0.777
1.0, 0.1, 0.9, 1.000, 1.000, 0.942, 0.875
1.0, 0.3, 0.0, 1.000, 1.000, 0.946, 0.946
0.2, 0.4, 0.1, 0.846, 1.000, 0.943, 0.884
1.0, 0.4, 0.8, 1.000, 1.000, 0.941, 0.848
1.0, 0.2, 1.0, 0.846, 1.000, 0.957, 0.795
1.0, 0.2, 1.0, 1.000, 1.000, 0.957, 0.795
1.0, 0.2, 1.0, 1.000, 1.000, 0.957, 0.795
1.0, 0.6, 0.0, 1.000, 1.000, 0.952, 0.884
0.2, 0.3, 0.5, 1.000, 1.000, 0.942, 0.866
1.0, 0.9, 0.0, 1.000, 1.000, 0.989, 0.830
0.2, 0.3, 0.4, 0.917, 1.000, 0.942, 0.866
1.0, 0.2, 0.0, 1.000, 1.000, 0.947, 0.955
0.2, 0.3, 0.1, 1.000, 1.000, 0.943, 0.893
1.0, 1.0, 0.8, 1.000, 0.909, 1.000, 0.661
1.0, 0.3, 0.2, 1.000, 1.000, 0.942, 0.875
1.0, 0.3, 0.0, 0.917, 1.000, 0.946, 0.946
1.0, 0.3, 0.0, 0.917, 1.000, 0.946, 0.946
1.0, 0.3, 0.0, 0.846, 1.000, 0.946, 0.946
1.0, 0.3, 0.2, 1.000, 1.000, 0.942, 0.875
1.0, 0.3, 1.0, 1.000, 1.000, 0.957, 0.786
1.0, 0.4, 0.0, 0.917, 1.000, 0.946, 0.938
1.0, 0.3, 0.2, 0.917, 1.000, 0.942, 0.875
1.0, 0.4, 0.0, 1.000, 1.000, 0.946, 0.938
0.2, 0.9, 0.0, 1.000, 1.000, 0.989, 0.830
1.0, 0.3, 0.0, 0.917, 1.000, 0.946, 0.946
1.0, 0.3, 0.0, 1.000, 1.000, 0.946, 0.946
0.0, 0.2, 1.0, 0.917, 1.000, 0.958, 0.821
1.0, 0.2, 0.0, 0.917, 1.000, 0.947, 0.955
1.0, 0.2, 0.5, 1.000, 1.000, 0.942, 0.875
0.0, 0.3, 0.8, 1.000, 1.000, 0.943, 0.893
1.0, 0.3, 0.0, 0.917, 1.000, 0.946, 0.946
0.2, 0.2, 0.7, 0.917, 1.000, 0.942, 0.866
0.0, 0.2, 0.4, 0.917, 1.000, 0.944, 0.911
0.0, 0.2, 0.0, 0.917, 1.000, 0.448, 0.991
0.2, 0.7, 0.3, 1.000, 1.000, 0.947, 0.795
0.2, 0.3, 0.0, 0.846, 1.000, 0.946, 0.946
0.2, 0.3, 0.2, 0.917, 1.000, 0.942, 0.875
1.0, 0.3, 1.0, 1.000, 1.000, 0.957, 0.786
1.0, 0.3, 0.9, 1.000, 1.000, 0.941, 0.857
1.0, 0.9, 0.0, 1.000, 1.000, 0.989, 0.830
1.0, 0.2, 0.8, 1.000, 1.000, 0.942, 0.866
1.0, 0.3, 0.5, 1.000, 1.000, 0.942, 0.866
1.0, 0.2, 0.7, 1.000, 1.000, 0.942, 0.866
1.0, 0.2, 0.0, 1.000, 1.000, 0.947, 0.955
1.0, 0.3, 0.0, 0.917, 1.000, 0.946, 0.946
1.0, 0.1, 0.0, 0.917, 1.000, 0.947, 0.964
1.0, 0.3, 0.4, 1.000, 1.000, 0.942, 0.866
0.3, 0.2, 0.3, 1.000, 1.000, 0.943, 0.884
0.2, 0.2, 0.0, 1.000, 1.000, 0.947, 0.955
1.0, 0.5, 0.2, 1.000, 1.000, 0.939, 0.830
1.0, 0.3, 0.2, 0.917, 1.000, 0.942, 0.875
1.0, 0.7, 0.0, 1.000, 1.000, 0.951, 0.866
1.0, 0.2, 0.1, 0.917, 1.000, 0.944, 0.902
0.3, 0.3, 0.4, 0.917, 1.000, 0.939, 0.830
1.0, 0.2, 0.1, 1.000, 1.000, 0.944, 0.902
0.2, 0.4, 0.9, 1.000, 1.000, 0.929, 0.696
0.2, 0.3, 0.4, 1.000, 1.000, 0.939, 0.830
0.0, 0.4, 0.3, 1.000, 1.000, 0.943, 0.893
1.0, 0.3, 1.0, 0.917, 1.000, 0.945, 0.616
0.0, 0.5, 0.0, 1.000, 1.000, 0.636, 0.938
1.0, 1.0, 0.4, 1.000, 1.000, 1.000, 0.634
0.0, 0.2, 0.8, 1.000, 1.000, 0.936, 0.786
1.0, 0.2, 0.0, 0.917, 1.000, 0.947, 0.955
0.2, 0.2, 0.1, 0.917, 1.000, 0.944, 0.902
1.0, 0.8, 0.0, 1.000, 1.000, 0.990, 0.857
0.2, 0.3, 0.9, 0.917, 1.000, 0.941, 0.857
1.0, 0.3, 0.5, 1.000, 1.000, 0.942, 0.866
1.0, 0.3, 0.4, 0.917, 1.000, 0.942, 0.866
0.2, 0.4, 0.4, 1.000, 1.000, 0.941, 0.857
1.0, 0.2, 1.0, 1.000, 1.000, 0.957, 0.795
0.2, 0.7, 0.1, 1.000, 1.000, 0.948, 0.812
0.0, 0.4, 0.4, 0.846, 1.000, 0.943, 0.893
1.0, 0.9, 0.4, 0.917, 1.000, 0.988, 0.759
0.1, 0.2, 0.3, 0.917, 1.000, 0.943, 0.884
1.0, 0.3, 0.2, 1.000, 1.000, 0.942, 0.875
0.1, 0.3, 1.0, 1.000, 1.000, 0.957, 0.786
1.0, 0.3, 1.0, 1.000, 1.000, 0.957, 0.786
0.1, 0.4, 0.4, 1.000, 1.000, 0.941, 0.857
1.0, 0.3, 0.7, 0.917, 1.000, 0.941, 0.857
1.0, 0.3, 0.4, 1.000, 1.000, 0.942, 0.866
